City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
201,Tondano,ID,2022-02-11 22:40:07,1.3038,124.9112,68.09,88,90,0.58
202,Kaeo,NZ,2022-02-11 22:40:07,-35.1,173.7833,76.32,98,93,14.43
203,Klaksvik,FO,2022-02-11 22:40:07,62.2266,-6.589,38.32,96,100,21.5
204,Lagoa,PT,2022-02-11 22:40:08,39.05,-27.9833,59.5,76,99,13.98
205,Airai,TL,2022-02-11 22:40:08,-8.9266,125.4092,63.79,90,100,1.19
206,Kaabong,UG,2022-02-11 22:40:08,3.4836,34.1492,71.42,39,75,7.05
207,Vostok,RU,2022-02-11 22:40:09,46.4856,135.8833,16.79,96,100,1.39
208,Huarmey,PE,2022-02-11 22:40:09,-10.0681,-78.1522,73.92,74,53,9.37
209,Piney Green,US,2022-02-11 22:40:09,34.716,-77.3202,62.78,46,0,8.05
210,Yola,NG,2022-02-11 22:40:09,9.2,12.4833,73.98,12,7,3.09
211,Pacific Grove,US,2022-02-11 22:38:29,36.6177,-121.9166,82.58,36,0,6.91
212,Sar-E Pul,AF,2022-02-11 22:40:10,35.8333,66.1667,33.19,58,76,3.49
213,Lorengau,PG,2022-02-11 22:40:10,-2.0226,147.2712,82.9,75,100,7.72
214,Mayo,US,2022-02-11 22:40:10,38.8876,-76.5119,64.56,53,0,17.27
215,Dawlatabad,AF,2022-02-11 22:40:10,36.4141,64.9053,46.85,59,100,5.7
216,Cartagena,CO,2022-02-11 22:40:11,10.3997,-75.5144,85.62,62,20,10.36
217,Koroni,GR,2022-02-11 22:40:11,36.8,21.95,50.07,68,65,4.59
218,Saint Anthony,US,2022-02-11 22:40:11,45.0205,-93.218,15.73,61,100,27.63
219,Salalah,OM,2022-02-11 22:40:12,17.0151,54.0924,73.49,64,20,2.3
220,Niamey,NE,2022-02-11 22:40:12,13.5137,2.1098,79.09,10,0,6.91
221,Luanda,AO,2022-02-11 22:40:12,-8.8368,13.2343,76.3,85,100,7.14
222,Soyo,AO,2022-02-11 22:40:13,-6.1349,12.3689,77.29,87,49,4.9
223,Orlik,RU,2022-02-11 22:40:13,52.5178,99.825,-33.05,98,52,2.1
224,Joshimath,IN,2022-02-11 22:40:13,30.5667,79.5667,35.53,27,0,10.42
225,Vila Velha,BR,2022-02-11 22:40:14,-20.3297,-40.2925,75.15,93,75,6.91
226,Arbuzynka,UA,2022-02-11 22:40:14,47.9097,31.3196,41.31,86,99,3.13
227,Kralendijk,BQ,2022-02-11 22:40:14,12.15,-68.2667,80.58,65,20,21.85
228,Guanica,PR,2022-02-11 22:40:14,17.9716,-66.908,81.14,78,2,11.01
229,Zhigansk,RU,2022-02-11 22:40:14,66.7697,123.3711,-32.3,100,94,5.35
230,Alibag,IN,2022-02-11 22:40:15,18.6411,72.8792,75.27,47,12,7.07
231,Necochea,AR,2022-02-11 22:35:59,-38.5473,-58.7368,61.03,57,100,16.71
232,Kloulklubed,PW,2022-02-11 22:40:15,7.0419,134.2556,79.3,73,29,18.97
233,Honiara,SB,2022-02-11 22:40:15,-9.4333,159.95,76.39,98,100,4.56
234,Komsomolskiy,UZ,2022-02-11 22:40:16,40.4272,71.7189,38.62,65,100,9.22
235,Bubaque,GW,2022-02-11 22:41:16,11.2833,-15.8333,78.76,71,46,9.69
236,Vilhena,BR,2022-02-11 22:41:16,-12.7406,-60.1458,82.62,65,75,8.05
237,Biak,ID,2022-02-11 22:41:16,-0.9131,122.8766,74.19,91,100,1.77
238,Ahipara,NZ,2022-02-11 22:41:17,-35.1667,173.1667,78.8,83,95,17.96
239,Bunia,CD,2022-02-11 22:41:17,1.5667,30.25,68.16,53,99,1.63
240,Dikson,RU,2022-02-11 22:41:17,73.5069,80.5464,1.85,81,100,29.19
241,Miandrivazo,MG,2022-02-11 22:41:17,-19.5167,45.4667,77.47,92,9,2.93
242,Dom Pedrito,BR,2022-02-11 22:41:18,-30.9828,-54.6731,82.81,47,65,8.88
243,Okhotsk,RU,2022-02-11 22:41:18,59.3833,143.3,-12.41,83,52,8.63
244,Alta Floresta,BR,2022-02-11 22:41:18,-9.8756,-56.0861,73.6,93,98,0.29
245,Rafai,CF,2022-02-11 22:41:18,4.95,23.9167,75.34,32,100,3.13
246,Half Moon Bay,US,2022-02-11 22:41:19,37.4636,-122.4286,81.5,45,0,0.0
247,Bridlington,GB,2022-02-11 22:41:19,54.0831,-0.1919,39.88,83,97,7.0
248,Farafangana,MG,2022-02-11 22:41:19,-22.8167,47.8333,75.22,87,20,1.63
249,Cabedelo,BR,2022-02-11 22:38:01,-6.9811,-34.8339,83.07,78,95,15.1
250,Xiongyue,CN,2022-02-11 22:41:20,40.1774,122.1228,22.77,66,65,7.47
251,Hasaki,JP,2022-02-11 22:41:20,35.7333,140.8333,30.6,55,27,12.26
252,Khani,GE,2022-02-11 22:41:20,41.9563,42.9566,27.97,79,14,7.52
253,Morant Bay,JM,2022-02-11 22:41:20,17.8815,-76.4093,82.02,81,34,10.45
254,Marathon,US,2022-02-11 22:41:21,44.9,-89.7668,25.84,69,100,17.27
255,Sept-Iles,CA,2022-02-11 22:41:21,50.2001,-66.3821,14.52,62,75,2.3
256,Maybole,GB,2022-02-11 22:41:21,55.355,-4.6803,42.75,87,75,21.85
257,Coahuayana,MX,2022-02-11 22:41:21,18.7333,-103.6833,83.89,33,0,6.35
258,Mount Gambier,AU,2022-02-11 22:41:22,-37.8333,140.7667,58.91,77,0,11.5
259,Moranbah,AU,2022-02-11 22:41:22,-22.0016,148.0466,80.08,55,0,12.71
260,Perpignan,FR,2022-02-11 22:41:22,42.75,2.75,52.57,73,0,6.91
261,Kampong Chhnang,KH,2022-02-11 22:41:22,12.1667,104.55,75.34,83,96,4.0
262,Vao,NC,2022-02-11 22:41:23,-22.6667,167.4833,80.74,82,99,15.93
263,Nabire,ID,2022-02-11 22:41:23,-3.3667,135.4833,76.42,92,100,2.28
264,Ahuimanu,US,2022-02-11 22:41:23,21.4447,-157.8378,80.85,61,0,11.5
265,Chengde,CN,2022-02-11 22:41:23,40.9725,117.9361,23.58,60,83,1.95
266,Hondo,JP,2022-02-11 22:41:24,32.45,130.2,44.55,65,100,7.63
267,Touros,BR,2022-02-11 22:41:24,-5.1989,-35.4608,83.3,78,70,10.67
268,Verkhovazhye,RU,2022-02-11 22:41:24,60.7472,42.0465,24.98,93,100,7.16
269,Shingu,JP,2022-02-11 22:41:24,33.7333,135.9833,41.14,49,33,4.36
270,Erenhot,CN,2022-02-11 22:41:25,43.6475,111.9767,5.5,90,96,5.35
271,Mishkino,RU,2022-02-11 22:41:25,55.3389,63.9175,13.28,95,100,10.11
272,Balakhninskiy,RU,2022-02-11 22:41:26,58.0106,114.2769,-40.47,100,78,2.66
273,Oussouye,SN,2022-02-11 22:41:26,12.485,-16.5469,77.09,25,3,4.27
274,Gewane,ET,2022-02-11 22:41:26,10.1664,40.6453,73.65,50,4,3.91
275,Jacareacanga,BR,2022-02-11 22:41:26,-6.2222,-57.7528,74.14,95,100,0.36
276,Port Huron,US,2022-02-11 22:37:41,42.9709,-82.4249,38.28,90,100,10.36
277,Norsup,VU,2022-02-11 22:41:27,-16.0667,167.3833,83.88,74,91,6.78
278,Nome,US,2022-02-11 22:41:27,64.5011,-165.4064,-0.33,50,0,18.41
279,Tautira,PF,2022-02-11 22:41:27,-17.7333,-149.15,86.02,71,82,13.58
280,Nanortalik,GL,2022-02-11 22:41:28,60.1432,-45.2371,29.55,79,100,8.79
281,El Vigia,VE,2022-02-11 22:42:28,8.6219,-71.6506,79.54,73,68,3.06
282,Port Hardy,CA,2022-02-11 22:42:28,50.6996,-127.4199,45.75,87,75,4.61
283,Lavrentiya,RU,2022-02-11 22:42:28,65.5833,-171.0,-22.23,93,25,7.02
284,Faanui,PF,2022-02-11 22:42:29,-16.4833,-151.75,81.91,71,58,13.56
285,Provideniya,RU,2022-02-11 22:42:29,64.3833,-173.3,-12.75,88,7,8.12
286,Altus,US,2022-02-11 22:42:29,34.6381,-99.334,65.71,36,0,24.16
287,Warwick,US,2022-02-11 22:38:10,41.7001,-71.4162,49.71,65,0,12.66
288,Suntar,RU,2022-02-11 22:42:29,62.1444,117.6319,-16.31,100,89,3.67
289,Kalemie,CD,2022-02-11 22:42:30,-5.9475,29.1947,68.72,92,100,3.49
290,Quebo,GW,2022-02-11 22:42:30,11.3333,-14.9333,71.11,78,58,4.52
291,Bilma,NE,2022-02-11 22:42:30,18.6853,12.9164,61.88,23,0,7.78
292,Pascagoula,US,2022-02-11 22:42:30,30.3658,-88.5561,64.72,69,20,9.22
293,Broome,US,2022-02-11 22:42:31,42.2506,-75.833,48.78,50,20,11.99
