City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
317,Plastun,RU,44.7561,136.2939,19.27,62,90,5.99,overcast clouds
318,Qaqortoq,GL,60.7167,-46.0333,16.39,95,100,12.33,light snow
319,Sao Filipe,CV,14.8961,-24.4956,73.44,68,68,11.16,broken clouds
320,Tagusao,PH,9.1924,117.8141,82.04,73,100,6.98,overcast clouds
321,Dingzhou,CN,38.5131,114.9956,12.31,82,76,3.18,broken clouds
322,Muisne,EC,0.6,-80.0333,76.05,86,100,1.81,overcast clouds
323,Rumoi,JP,43.9344,141.6428,26.33,77,21,4.83,few clouds
324,Gumdag,TM,39.2061,54.5906,38.61,64,7,7.65,clear sky
325,Tazovskiy,RU,67.4667,78.7,-8.05,95,96,10.07,overcast clouds
326,Omboue,GA,-1.5746,9.2618,78.28,83,100,4.99,overcast clouds
327,Zambezi,ZM,-13.5432,23.1047,63.45,95,90,1.83,overcast clouds
328,Coruripe,BR,-10.1256,-36.1756,80.67,75,100,15.21,overcast clouds
329,Los Llanos De Aridane,ES,28.6585,-17.9182,60.55,75,100,6.91,overcast clouds
330,Flinders,AU,-34.5833,150.8552,84.06,57,100,7.0,overcast clouds
331,Russell,US,32.3502,-85.1999,45.68,43,0,5.75,clear sky
332,Klaksvik,FO,62.2266,-6.589,32.92,65,100,28.66,overcast clouds
333,Harper,LR,4.375,-7.7169,77.0,87,40,1.68,scattered clouds
334,Vardo,NO,70.3705,31.1107,23.9,90,100,18.16,light snow
335,Iracoubo,GF,5.4802,-53.2011,76.15,90,90,8.59,overcast clouds
336,Souillac,MU,-20.5167,57.5167,81.36,89,40,9.22,light rain
337,Visby,SE,57.6409,18.296,36.77,87,100,13.8,overcast clouds
338,Trabzon,TR,40.9167,39.8333,41.09,81,75,5.75,broken clouds
339,Ngerengere,TZ,-6.75,38.1167,73.36,98,100,2.46,light rain
340,Bom Jesus,BR,-9.0744,-44.3586,72.46,94,100,1.28,overcast clouds
341,Pangody,RU,65.85,74.4859,-14.15,99,100,8.95,overcast clouds
342,Maungaturoto,NZ,-36.1,174.3667,70.29,49,61,8.1,broken clouds
343,Udachnyy,RU,66.4167,112.4,-22.83,88,13,1.1,few clouds
